dataset,eval,restart_id,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,epochs_used,method
Sleep-EDF,73,4,32,5,64,0.2,0.005,32,1.1164828538894653,0.5062500238418579,4,Hill Climbing
Sleep-EDF,74,4,16,5,64,0.3,0.005,32,0.9237011671066284,0.5950000286102295,4,Hill Climbing
Sleep-EDF,75,4,16,5,64,0.3,0.01,32,1.0063445568084717,0.5587499737739563,4,Hill Climbing
Sleep-EDF,76,4,16,5,32,0.3,0.005,32,0.9147276878356934,0.5993750095367432,4,Hill Climbing
Sleep-EDF,77,4,16,5,32,0.3,0.005,48,1.0929898023605347,0.534375011920929,4,Hill Climbing
Sleep-EDF,78,4,16,5,32,0.3,0.005,16,1.0095750093460083,0.5774999856948853,4,Hill Climbing
Sleep-EDF,79,4,16,5,32,0.3,0.01,32,0.993327796459198,0.5612499713897705,4,Hill Climbing
Sleep-EDF,80,4,16,5,32,0.3,0.001,32,0.9501697421073914,0.5849999785423279,4,Hill Climbing
Sleep-EDF,81,4,16,5,32,0.2,0.005,32,0.9467306733131409,0.5737500190734863,4,Hill Climbing
Sleep-EDF,82,4,16,5,32,0.4,0.005,32,1.057504415512085,0.5556250214576721,4,Hill Climbing
Sleep-EDF,83,4,16,5,64,0.3,0.005,32,0.9720441699028015,0.5950000286102295,4,Hill Climbing
Sleep-EDF,84,4,32,5,32,0.3,0.005,32,1.0834779739379883,0.5425000190734863,4,Hill Climbing
Sleep-EDF,85,4,16,4,32,0.3,0.005,32,1.0206844806671143,0.5806249976158142,4,Hill Climbing
Sleep-EDF,86,5,64,2,64,0.1,0.0005,64,1.0206115245819092,0.5606250166893005,4,Hill Climbing
Sleep-EDF,87,5,64,2,64,0.1,0.0005,48,1.041885495185852,0.5518749952316284,4,Hill Climbing
Sleep-EDF,88,5,64,2,64,0.1,0.0001,64,1.2924402952194214,0.4300000071525574,4,Hill Climbing
Sleep-EDF,89,5,64,2,96,0.1,0.0005,64,1.047802448272705,0.5606250166893005,4,Hill Climbing
Sleep-EDF,90,5,64,2,64,0.2,0.0005,64,1.1017228364944458,0.5575000047683716,4,Hill Climbing
Sleep-EDF,91,5,64,2,32,0.1,0.0005,64,1.1420291662216187,0.4781250059604645,4,Hill Climbing
Sleep-EDF,92,5,64,2,64,0.1,0.001,64,1.4506512880325317,0.36375001072883606,3,Hill Climbing
Sleep-EDF,93,5,64,3,64,0.1,0.0005,64,1.0393574237823486,0.5649999976158142,4,Hill Climbing
Sleep-EDF,94,5,96,2,64,0.1,0.0005,64,1.0892715454101562,0.5618749856948853,4,Hill Climbing
Sleep-EDF,95,5,32,2,64,0.1,0.0005,64,1.0517557859420776,0.5512499809265137,4,Hill Climbing
Sleep-EDF,96,6,16,5,64,0.5,0.005,64,1.3011140823364258,0.4087499976158142,4,Hill Climbing
Sleep-EDF,97,6,16,5,64,0.4,0.005,64,0.985251784324646,0.5868750214576721,4,Hill Climbing
Sleep-EDF,98,6,16,5,64,0.4,0.001,64,1.193994402885437,0.46000000834465027,4,Hill Climbing
Sleep-EDF,99,6,16,5,64,0.5,0.005,64,1.170140027999878,0.48374998569488525,4,Hill Climbing
Sleep-EDF,100,6,16,5,96,0.4,0.005,64,1.1120359897613525,0.5262500047683716,4,Hill Climbing
