dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,64,5,64,0.1,0.0005,48,1.0039666891098022,0.57421875,0.5650691213755822,0.5587088750593209,0.543473893926019,4,Tabu Search
Sleep-EDF,32,5,96,0.1,0.0005,32,0.8265588879585266,0.6609375,0.639970495530201,0.6466925358357736,0.6346369500991148,4,Tabu Search
Sleep-EDF,96,5,96,0.1,0.0005,32,0.838333249092102,0.64453125,0.6267122587263774,0.6327654632254605,0.6254946558437446,4,Tabu Search
Sleep-EDF,64,4,96,0.1,0.0005,32,0.8008421063423157,0.6828125,0.6718207019042175,0.670290407497956,0.6624728392452244,4,Tabu Search
Sleep-EDF,64,5,128,0.1,0.0005,32,0.927475094795227,0.58203125,0.5875898337682918,0.5687593980994333,0.5579614732831836,4,Tabu Search
Sleep-EDF,64,5,96,0.2,0.0005,32,0.8170235753059387,0.65859375,0.6638769934912292,0.6487059442939784,0.6481330147522749,4,Tabu Search
Sleep-EDF,64,5,96,0.1,0.0001,32,0.9359771013259888,0.5984375,0.5792394668945203,0.5833779285867621,0.5734313404897677,4,Tabu Search
Sleep-EDF,64,5,96,0.1,0.001,32,0.8638617396354675,0.65625,0.6593747128636722,0.6471230387159336,0.6519769794882884,4,Tabu Search
Sleep-EDF,64,5,96,0.1,0.0005,16,0.8559457659721375,0.63828125,0.6382870607274898,0.629103873698245,0.6231316442499603,4,Tabu Search
Sleep-EDF,64,5,96,0.1,0.0005,48,0.9740487933158875,0.58828125,0.565267122803337,0.5701683763526796,0.5478631821399375,4,Tabu Search
Sleep-EDF,32,4,96,0.1,0.0005,32,0.8922726511955261,0.61953125,0.6222553558392032,0.6081616812228111,0.596193006357681,4,Tabu Search
Sleep-EDF,96,4,96,0.1,0.0005,32,0.8311211466789246,0.67265625,0.6813892903391977,0.6624126581323646,0.6663531012404723,4,Tabu Search
Sleep-EDF,64,3,96,0.1,0.0005,32,0.8383259773254395,0.64140625,0.6365570887039944,0.6308259450312363,0.6291576103468774,4,Tabu Search
Sleep-EDF,64,4,64,0.1,0.0005,32,0.8331371545791626,0.64609375,0.6445568420294376,0.6319728765855712,0.6183401709304677,4,Tabu Search
Sleep-EDF,64,4,128,0.1,0.0005,32,0.8535143733024597,0.63984375,0.6233189624042457,0.6244436209567021,0.6139003615920253,4,Tabu Search
Sleep-EDF,64,4,96,0.2,0.0005,32,0.8907302618026733,0.62578125,0.610537838275353,0.6113814615890375,0.5926508920488871,4,Tabu Search
Sleep-EDF,64,4,96,0.1,0.0001,32,0.9221611022949219,0.6078125,0.5935478573343186,0.5970424865428322,0.5898904030884926,4,Tabu Search
Sleep-EDF,64,4,96,0.1,0.001,32,0.9292138814926147,0.59453125,0.5712756844145301,0.5765752763800007,0.5451093189702423,4,Tabu Search
Sleep-EDF,64,4,96,0.1,0.0005,16,0.8536752462387085,0.63046875,0.6420793141926945,0.6224826352545951,0.6255773236772699,4,Tabu Search
Sleep-EDF,64,4,96,0.1,0.0005,48,1.0793458223342896,0.5359375,0.5609082994390102,0.5173458774238259,0.4978713395861097,4,Tabu Search
Sleep-EDF,128,4,96,0.1,0.0005,32,0.8049456477165222,0.65703125,0.6558004722550177,0.6460870650304449,0.6452534355718564,4,Tabu Search
Sleep-EDF,96,3,96,0.1,0.0005,32,0.8587881922721863,0.6328125,0.6165137262469852,0.6206211731928185,0.6145710850901802,4,Tabu Search
Sleep-EDF,96,5,96,0.1,0.0005,32,0.8527640104293823,0.65703125,0.6599226077017515,0.6440787283986724,0.6378862495613085,4,Tabu Search
