filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,restart_id,method
64,2,128,0.5,0.01,16,27.03046226501465,4,Hill Climbing
32,2,128,0.4,0.01,16,26.65904426574707,4,Hill Climbing
32,2,128,0.5,0.01,32,26.896560668945312,4,Hill Climbing
32,2,96,0.5,0.01,16,26.46923065185547,4,Hill Climbing
16,2,128,0.5,0.01,16,26.675283432006836,4,Hill Climbing
32,2,96,0.5,0.0001,16,832.748046875,5,Hill Climbing
32,2,128,0.5,0.0001,16,731.7230224609375,5,Hill Climbing
16,2,128,0.5,0.0001,16,787.0794067382812,5,Hill Climbing
32,2,128,0.5,0.0001,32,909.1284790039062,5,Hill Climbing
32,2,96,0.5,0.0001,16,807.2001342773438,5,Hill Climbing
