dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,basin_id,phase,method
Haaglanden,64,5,128,0.2,0.001,32,1.1788865327835083,0.521875,0.5048385254821559,0.5146825377978888,0.46251696970268885,4,2,hc_step,Basin Hopping
Haaglanden,64,5,128,0.2,0.0001,32,1.2698297500610352,0.44609375,0.39966945423256106,0.44692974959574683,0.3828482828840096,4,2,hc_step,Basin Hopping
Haaglanden,64,5,128,0.2,0.0005,48,1.545435905456543,0.3234375,0.24629643710206367,0.32482353464655456,0.2142058694964332,3,2,hc_step,Basin Hopping
Haaglanden,96,5,128,0.2,0.0005,32,1.138539433479309,0.540625,0.5250652500742123,0.5337736947979198,0.5151957440021369,4,2,hc_step,Basin Hopping
Haaglanden,64,5,96,0.2,0.0005,32,1.1435388326644897,0.5109375,0.4691567390853676,0.5064580045626863,0.4627683427669143,4,2,hc_step,Basin Hopping
Haaglanden,64,4,128,0.2,0.0005,32,1.1962684392929077,0.5140625,0.4821677514170798,0.5116363752086107,0.4643170720314589,4,2,hc_step,Basin Hopping
Haaglanden,32,5,128,0.2,0.0005,32,1.179401159286499,0.48828125,0.4522816003860923,0.4878743641703351,0.44554257016327864,4,2,hc_step,Basin Hopping
Haaglanden,64,5,128,0.3,0.0005,32,1.3122692108154297,0.42890625,0.3807603577776889,0.4287193146274356,0.3573093398721244,4,2,hc_step,Basin Hopping
Haaglanden,64,5,128,0.1,0.0005,32,1.12729811668396,0.52265625,0.5020841433617966,0.5165362769931617,0.4883514576596249,4,2,hc_step,Basin Hopping
Haaglanden,64,5,128,0.2,0.0005,16,1.093109369277954,0.54453125,0.536566710722796,0.5393303829390185,0.5312867640084873,4,2,hc_step,Basin Hopping
Haaglanden,64,5,128,0.2,0.0001,16,1.2744697332382202,0.4421875,0.4059674066561333,0.4425189540703537,0.3728839757649515,4,2,hc_step,Basin Hopping
Haaglanden,64,5,128,0.2,0.001,16,1.179344892501831,0.48125,0.47611075605306696,0.47995513381731536,0.4619733904338088,4,2,hc_step,Basin Hopping
Haaglanden,64,5,96,0.2,0.0005,16,1.1583890914916992,0.51171875,0.46802948250221804,0.5056691048846189,0.45914213742340915,4,2,hc_step,Basin Hopping
Haaglanden,64,4,128,0.2,0.0005,16,1.0914322137832642,0.53046875,0.5235193081088559,0.5245134418788241,0.49735955719436864,4,2,hc_step,Basin Hopping
Haaglanden,64,4,128,0.1,0.0005,16,1.0990926027297974,0.5390625,0.5149992564665296,0.5350105331352978,0.5208013245635976,4,2,hc_step,Basin Hopping
Haaglanden,64,4,96,0.2,0.0005,16,1.2120329141616821,0.4796875,0.4472878272033676,0.4786886601496869,0.4438946260828699,4,2,hc_step,Basin Hopping
Haaglanden,32,4,128,0.2,0.0005,16,1.1991751194000244,0.48515625,0.4261906065847705,0.47986110606293864,0.4377840414689051,4,2,hc_step,Basin Hopping
