dataset,generation,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,5,128,5,64,0.2,0.001,48,1.127869725227356,0.51171875,0.4905253819478329,0.49345456893254047,0.44666427991685653,4,GA
Sleep-EDF,5,96,5,64,0.5,0.0005,16,1.0417779684066772,0.56640625,0.5303471127174626,0.5481212081036025,0.5023791778963005,4,GA
Sleep-EDF,5,128,4,128,0.2,0.0005,16,0.8821942210197449,0.6265625,0.6381230228285415,0.6154090853939909,0.60922425536718,4,GA
Sleep-EDF,5,64,5,128,0.2,0.0005,16,0.8700641393661499,0.6265625,0.6355144781208305,0.6197459982735454,0.6080353835443745,4,GA
Sleep-EDF,5,128,4,128,0.2,0.0005,64,1.4904705286026,0.39765625,0.39058359532241294,0.374510717532099,0.2768339981522575,3,GA
Sleep-EDF,5,128,5,64,0.5,0.005,48,1.073982834815979,0.51484375,0.5586676144149082,0.504247814884013,0.5041627613455173,4,GA
Sleep-EDF,6,128,5,128,0.2,0.0005,16,0.8285452127456665,0.65859375,0.669131732305706,0.6488108019786575,0.6517149458049433,4,GA
Sleep-EDF,6,128,4,128,0.2,0.0005,16,0.8729723691940308,0.625,0.6098451095784662,0.6114178393344372,0.5941046009654968,4,GA
Sleep-EDF,6,128,2,128,0.2,0.0005,16,0.9236801862716675,0.584375,0.5685016912014446,0.5704951465259045,0.558506313225008,4,GA
Sleep-EDF,6,96,5,64,0.2,0.001,16,0.849120020866394,0.64375,0.6358270318391287,0.6298479563278256,0.6278026289167195,4,GA
Sleep-EDF,6,128,5,128,0.2,0.0005,16,0.8609906435012817,0.63515625,0.63545102101331,0.6229460093601935,0.6159669448816109,4,GA
Sleep-EDF,6,64,5,32,0.2,0.0005,16,0.8751293420791626,0.6203125,0.5938167483951563,0.6051322353980415,0.5920469317295695,4,GA
Sleep-EDF,6,64,5,64,0.2,0.0005,16,0.8804179430007935,0.63984375,0.6099025505418701,0.6248576939411633,0.6056589677229176,4,GA
Sleep-EDF,6,128,4,128,0.2,0.0005,16,0.8125359416007996,0.66171875,0.6444327195217359,0.6498674356986395,0.6437190138090731,4,GA
Sleep-EDF,6,64,3,128,0.2,0.01,16,1.0697400569915771,0.5484375,0.5353109728254843,0.5370260813539367,0.5316962694122216,4,GA
Sleep-EDF,6,64,5,128,0.2,0.0005,16,0.8810240030288696,0.61875,0.6213443358842833,0.6064960944508767,0.6066320336229463,4,GA
Sleep-EDF,7,128,4,128,0.2,0.0005,16,0.8075101971626282,0.6578125,0.6598283687643571,0.6424033878647741,0.621978208344635,4,GA
Sleep-EDF,7,128,3,64,0.2,0.0005,16,0.8449106216430664,0.653125,0.64477472609866,0.640087985739682,0.6392538800462624,4,GA
Sleep-EDF,7,96,5,32,0.3,0.0005,48,1.1672813892364502,0.50078125,0.49450154405660296,0.4831634109851878,0.458440390023125,4,GA
Sleep-EDF,7,128,2,128,0.2,0.0001,16,0.9573352932929993,0.58984375,0.5604472605213138,0.5758648815483346,0.5612293323215942,4,GA
Sleep-EDF,7,96,4,64,0.2,0.001,16,0.819909393787384,0.6578125,0.6600071106090167,0.6445595639522059,0.6361000674839447,4,GA
Sleep-EDF,7,128,4,32,0.2,0.001,16,0.8952008485794067,0.62421875,0.6231449400287856,0.6111336277124355,0.6093047056044012,4,GA
Sleep-EDF,7,96,5,64,0.2,0.001,64,1.2492666244506836,0.48046875,0.4112903724372822,0.46525351369915297,0.4067127716858244,4,GA
Sleep-EDF,7,128,5,64,0.3,0.0001,64,1.483925223350525,0.34921875,0.3614071014937939,0.32615249962323994,0.24568795691414716,4,GA
Sleep-EDF,7,128,4,128,0.2,0.0005,16,0.8186966776847839,0.65078125,0.6348753211708583,0.6395734659061734,0.6355858965326693,4,GA
Sleep-EDF,7,32,5,128,0.2,0.0005,16,0.8337185978889465,0.63203125,0.6484721942691218,0.6207734418602464,0.6218962205162134,4,GA
Sleep-EDF,8,128,4,128,0.2,0.0005,16,0.8455106019973755,0.646875,0.6251008487812653,0.6300601989252103,0.6182369956870224,4,GA
Sleep-EDF,8,128,4,128,0.2,0.0005,16,0.8305920362472534,0.6421875,0.6453538526036551,0.6323977425477869,0.6320935777747761,4,GA
Sleep-EDF,8,128,5,128,0.2,0.0005,16,0.7883585691452026,0.67109375,0.6592414704542894,0.6586467586135424,0.6556177648196687,4,GA
Sleep-EDF,8,128,4,128,0.2,0.0005,48,1.1587897539138794,0.5078125,0.5244640416299184,0.49114773819919233,0.4514460004586086,4,GA
Sleep-EDF,8,96,5,128,0.3,0.0005,48,1.1299374103546143,0.5296875,0.5018408636711678,0.5162492734609043,0.4811382059394247,4,GA
Sleep-EDF,8,128,4,128,0.1,0.005,16,1.0330052375793457,0.52265625,0.5660488316821116,0.5154621133013582,0.429283959900222,4,GA
Sleep-EDF,8,32,5,128,0.2,0.0005,16,0.8924444317817688,0.60390625,0.585474645019568,0.591972639463618,0.5783484292367338,4,GA
Sleep-EDF,8,96,5,128,0.2,0.001,16,0.8602304458618164,0.64140625,0.6460449006362772,0.6345662314690574,0.6392458352187157,4,GA
Sleep-EDF,8,128,4,128,0.2,0.0005,48,1.5515183210372925,0.27421875,0.2595956897319441,0.24876633815614735,0.15794089888114393,3,GA
Sleep-EDF,8,128,4,128,0.2,0.001,16,0.8527033925056458,0.6265625,0.613594145340115,0.6139972750719112,0.5973144787797653,4,GA
Sleep-EDF,9,128,5,128,0.2,0.0005,16,0.8626182675361633,0.61796875,0.5986929616257237,0.6025253591917917,0.5908506698610447,4,GA
Sleep-EDF,9,128,4,64,0.2,0.0005,64,1.4639102220535278,0.35,0.3961040395027762,0.3278897258455976,0.27856091901229796,4,GA
Sleep-EDF,9,128,5,128,0.2,0.0005,16,0.8529741168022156,0.63046875,0.6334583298543023,0.621908122033174,0.613576040622734,4,GA
Sleep-EDF,9,32,5,128,0.2,0.001,16,0.9454838633537292,0.5796875,0.5428807044197128,0.5622289851064386,0.5334181240141582,4,GA
Sleep-EDF,9,128,4,64,0.2,0.005,64,1.1809715032577515,0.484375,0.5646169653662759,0.4886173114351343,0.49826469555182384,4,GA
