dataset,probe,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,51,102,4,59,0.14849762294574784,0.0001,23,0.9478299021720886,0.58203125,0.5614256771668745,0.5709722900723644,0.5622772128746887,4,Bayesian Optimization
Sleep-EDF,52,102,3,60,0.3723947609216542,0.0001,23,1.1945635080337524,0.48046875,0.42869757747588866,0.4618806629024837,0.39934924324896703,4,Bayesian Optimization
Sleep-EDF,53,50,2,98,0.30504480947364215,0.002192680025801966,40,0.9909619092941284,0.58828125,0.6087367062281545,0.5775163990984078,0.5700395917367885,4,Bayesian Optimization
Sleep-EDF,54,50,2,98,0.26762678073128077,0.0016351935034317256,39,0.9406757354736328,0.5796875,0.5579127549583855,0.5605014606693046,0.5401721982444238,4,Bayesian Optimization
Sleep-EDF,55,102,4,60,0.1,0.0001,24,0.9212136268615723,0.603125,0.5956242314188648,0.5905014558841983,0.5884300336425652,4,Bayesian Optimization
Sleep-EDF,56,102,4,60,0.5,0.01,23,1.3714959621429443,0.33359375,0.4413742491110611,0.3390259118818663,0.2710092455007963,3,Bayesian Optimization
Sleep-EDF,57,114,2,121,0.22521706668666122,0.0036072876812953468,18,1.0355889797210693,0.54765625,0.5159876781468388,0.536548314722397,0.5093906467017381,4,Bayesian Optimization
Sleep-EDF,58,85,4,58,0.2578112015616236,0.0032405687915583463,54,0.9709718823432922,0.5921875,0.5777788397987987,0.5732654561608935,0.5394664831662397,4,Bayesian Optimization
Sleep-EDF,59,50,2,97,0.28554456762098795,0.0016598482460114658,39,1.1646435260772705,0.51953125,0.4980715274925432,0.5004917961606493,0.46525335751142444,4,Bayesian Optimization
Sleep-EDF,60,83,3,37,0.15974814213231628,0.004865821504709921,26,1.0247679948806763,0.5578125,0.5292047519351273,0.5403354022028989,0.5029790504273248,4,Bayesian Optimization
Sleep-EDF,61,56,2,73,0.12482595482296865,0.0034908190915755935,36,1.2229176759719849,0.4359375,0.5352335322048376,0.43204932653876504,0.41568524868230494,4,Bayesian Optimization
Sleep-EDF,62,101,2,81,0.2154397470878546,0.007118231818667795,22,1.0293502807617188,0.55859375,0.5282389039809124,0.5384183436463121,0.5024692255369381,4,Bayesian Optimization
Sleep-EDF,63,32,4,64,0.43533426312041446,0.007034498437867041,44,1.246349573135376,0.446875,0.40548467551391365,0.42387577929436604,0.3785519001204466,3,Bayesian Optimization
Sleep-EDF,64,73,4,48,0.30816437493609034,0.0017981364944468553,49,1.063049077987671,0.56171875,0.5589161736554507,0.5439476935332087,0.5308472299818022,4,Bayesian Optimization
Sleep-EDF,65,117,3,101,0.331234084419759,0.0022663496905360324,44,1.1157495975494385,0.5234375,0.572760724057457,0.5246566266094324,0.5176476904595608,4,Bayesian Optimization
Sleep-EDF,66,122,2,82,0.18381518354484286,0.0012371009332972803,45,1.1467084884643555,0.515625,0.5843068152218235,0.5145239712204726,0.5289711456477524,4,Bayesian Optimization
Sleep-EDF,67,26,4,105,0.1437168325830192,0.008883061778678324,32,0.9964787364006042,0.5671875,0.5584987391960975,0.5574301393103707,0.5467696379512235,4,Bayesian Optimization
Sleep-EDF,68,65,3,90,0.12355094905665238,0.0034531630246036125,53,1.1121383905410767,0.47109375,0.5719420202941607,0.4797914423250732,0.4797267776025177,4,Bayesian Optimization
Sleep-EDF,69,17,3,60,0.3280177317442984,0.007476151110444985,58,1.1260424852371216,0.51875,0.4747885499900869,0.5078562484254707,0.4498466879486339,4,Bayesian Optimization
Sleep-EDF,70,126,2,72,0.22167374011865879,0.0031052409364620615,43,1.009142518043518,0.5546875,0.5508927565790243,0.5498793604817753,0.5408133619761818,4,Bayesian Optimization
Sleep-EDF,71,88,2,89,0.23076134179436783,0.005349644380546519,35,1.0535457134246826,0.54765625,0.5491942461093763,0.5331926242021758,0.4899956056607486,4,Bayesian Optimization
Sleep-EDF,72,118,4,47,0.1759886739603128,0.0007492611078423851,35,0.8787704706192017,0.61796875,0.5927359806771819,0.6041410690636013,0.588888114408544,4,Bayesian Optimization
Sleep-EDF,73,47,3,102,0.39731296775242275,0.006472763806970319,36,1.3446680307388306,0.4265625,0.5082916747580069,0.4297829017788035,0.4199006951444432,4,Bayesian Optimization
Sleep-EDF,74,119,3,40,0.15852027590900702,0.005825683807965086,35,1.1585838794708252,0.45546875,0.43842396589877153,0.4484384579815274,0.4147445730345695,4,Bayesian Optimization
Sleep-EDF,75,64,3,107,0.11955850390130106,0.009510478365088447,52,1.1977322101593018,0.5359375,0.5896742299618252,0.5291317681761308,0.5151366900370158,4,Bayesian Optimization
Sleep-EDF,76,60,2,118,0.4640395281558608,0.008072199934825233,31,1.1003587245941162,0.50703125,0.5102652189605829,0.4949755543841296,0.4775922650330854,4,Bayesian Optimization
Sleep-EDF,77,80,3,73,0.18229448840334067,0.0014378681863110702,26,0.869659423828125,0.6296875,0.650163740451053,0.6213023905835503,0.6177711675534052,4,Bayesian Optimization
Sleep-EDF,78,20,2,69,0.29581432280002773,0.007355546272407507,45,1.1868928670883179,0.50703125,0.5688340313842817,0.492765440999085,0.45003158133394905,4,Bayesian Optimization
Sleep-EDF,79,111,2,105,0.25732224928872205,0.008788665103879193,51,1.368591547012329,0.39609375,0.4101059109775297,0.39084925539799953,0.3380809090540936,4,Bayesian Optimization
Sleep-EDF,80,93,2,95,0.387056721558267,0.0043892722365229024,30,1.2587076425552368,0.49609375,0.5430457148572154,0.48895026813858744,0.44904819760874287,4,Bayesian Optimization
Sleep-EDF,81,23,2,37,0.24617628714413683,0.005119208528634372,57,1.0932891368865967,0.525,0.5412041841921167,0.5103680656941733,0.4911268677077075,4,Bayesian Optimization
Sleep-EDF,82,41,4,118,0.2320328562266835,0.005711133911025575,39,1.063453197479248,0.55390625,0.58752350786987,0.5433361151179368,0.5126076443550593,4,Bayesian Optimization
Sleep-EDF,83,93,2,98,0.4480772850271658,0.001227645005126414,62,1.299966812133789,0.4453125,0.3878828536941744,0.43493089589271544,0.35525398196455876,4,Bayesian Optimization
Sleep-EDF,84,47,2,123,0.2977906495447419,0.0033521599120645033,22,1.0788334608078003,0.50625,0.4985610726914487,0.4937564105910751,0.46792997001214964,4,Bayesian Optimization
Sleep-EDF,85,93,2,74,0.4998784971154848,0.008982156946135642,51,1.5634944438934326,0.3421875,0.45757020061482334,0.36127558349964767,0.2925664774400395,4,Bayesian Optimization
Sleep-EDF,86,120,4,91,0.2362127500944891,0.007232450866003963,19,1.0548248291015625,0.53203125,0.5433558274014791,0.5206002245868799,0.4983209046366941,4,Bayesian Optimization
Sleep-EDF,87,78,4,123,0.20762562122029468,0.0032304499400195854,25,0.9379744529724121,0.6125,0.5887770908326674,0.5978165534789989,0.5821712459266346,4,Bayesian Optimization
Sleep-EDF,88,124,4,122,0.3711064108621196,0.0005024145740804819,16,0.8789186477661133,0.62734375,0.6181020891354724,0.6128721063735898,0.6082399587720915,4,Bayesian Optimization
Sleep-EDF,89,74,4,68,0.3906991565650467,0.0028545750569203697,34,1.1032191514968872,0.51015625,0.5146139920956122,0.48940396218984283,0.4762840884556714,4,Bayesian Optimization
Sleep-EDF,90,120,3,54,0.38514259076317947,0.0016081159055884886,47,0.9977583885192871,0.58671875,0.5673906901200193,0.5685831202462562,0.5214837007506113,4,Bayesian Optimization
Sleep-EDF,91,86,3,120,0.18878098161751106,0.005604625671500127,40,1.1230254173278809,0.5109375,0.5946915067172182,0.5083432473634961,0.48658377347807036,4,Bayesian Optimization
Sleep-EDF,92,23,3,51,0.11952147716867123,0.002578813459861744,24,0.9491008520126343,0.55,0.5987332258231868,0.5408093324596754,0.5500177191399803,4,Bayesian Optimization
Sleep-EDF,93,58,2,123,0.1218167460214334,0.0008806808723494005,57,1.297271490097046,0.428125,0.4570853433172535,0.4115216313818591,0.38999976188821284,4,Bayesian Optimization
Sleep-EDF,94,110,4,87,0.35804460399767035,0.000560907699678175,46,1.377727746963501,0.484375,0.47071599544322706,0.46636314522463945,0.4212430740695047,4,Bayesian Optimization
Sleep-EDF,95,34,4,33,0.2972576596470271,0.004417805683454898,36,1.0830109119415283,0.56171875,0.5389921644165471,0.5478213215013978,0.5136764662596998,4,Bayesian Optimization
Sleep-EDF,96,81,4,116,0.16471202475064894,0.008122990155280526,61,1.4421546459197998,0.39296875,0.44358789323491826,0.3777487338031553,0.36793265609880293,4,Bayesian Optimization
Sleep-EDF,97,112,2,104,0.4120222563027355,0.00032734983044353604,22,1.0478812456130981,0.56484375,0.5313475281913442,0.5500287554676678,0.5191881554909397,4,Bayesian Optimization
Sleep-EDF,98,103,3,100,0.13547039991393964,0.007976583066436277,50,0.9999658465385437,0.5328125,0.5131444095409792,0.5242378133709572,0.4699979635826158,4,Bayesian Optimization
Sleep-EDF,99,100,2,46,0.3165159371804288,0.007526265505219873,17,1.094588041305542,0.53203125,0.44044887000869115,0.515322998388904,0.438977624301016,4,Bayesian Optimization
Sleep-EDF,100,86,2,81,0.42873766284659365,0.0021218501631751477,30,1.0523419380187988,0.5265625,0.5723372119661122,0.5210572232155358,0.5281176605995809,4,Bayesian Optimization
