dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,16,4,96,0.5,0.0001,16,1.1881470680236816,0.4921875,0.4470386762779275,0.47023382688105986,0.3981515106736,4,Simulated Annealing
Sleep-EDF,16,4,96,0.5,0.0001,32,1.33847975730896,0.41171875,0.4669314477046436,0.3898072061288112,0.2839744106030622,4,Simulated Annealing
Sleep-EDF,32,4,96,0.5,0.0001,32,1.265623688697815,0.44609375,0.40162964860733164,0.42510483372185626,0.3245821909156488,4,Simulated Annealing
Sleep-EDF,32,4,96,0.4,0.0001,32,1.3452565670013428,0.45859375,0.4076556048559019,0.4362733070824486,0.3391424503077603,4,Simulated Annealing
Sleep-EDF,32,4,96,0.4,0.0001,48,1.320469617843628,0.41796875,0.37656420873812174,0.39709470152636694,0.2931276581704978,4,Simulated Annealing
Sleep-EDF,32,3,96,0.4,0.0001,48,1.3655738830566406,0.40546875,0.33194549375277077,0.3836927568641887,0.2764809981900469,4,Simulated Annealing
Sleep-EDF,32,2,96,0.4,0.0001,48,1.3910857439041138,0.4171875,0.38907498521772066,0.3951635268826768,0.29750798348425916,4,Simulated Annealing
Sleep-EDF,32,2,96,0.4,0.0005,48,1.0826058387756348,0.54609375,0.5069879581905525,0.5344974278121707,0.5072680638346939,4,Simulated Annealing
Sleep-EDF,32,2,64,0.4,0.0005,48,1.1727830171585083,0.48359375,0.43470856696605303,0.46363180216541267,0.4169962118822399,4,Simulated Annealing
Sleep-EDF,32,2,64,0.4,0.0001,48,1.5493601560592651,0.325,0.3458656745792698,0.31669793763515874,0.3109098623787581,4,Simulated Annealing
Sleep-EDF,32,2,64,0.4,0.0005,32,1.0595756769180298,0.5375,0.5060172073609522,0.5264513961566828,0.5085817436594692,4,Simulated Annealing
Sleep-EDF,64,2,64,0.4,0.0005,32,0.999173641204834,0.5734375,0.5404375087976439,0.5592993111309259,0.5405424228677839,4,Simulated Annealing
Sleep-EDF,64,3,64,0.4,0.0005,32,0.9507859945297241,0.5859375,0.5553931452667314,0.5694523906530711,0.5453987076523024,4,Simulated Annealing
Sleep-EDF,64,3,64,0.4,0.0001,32,1.2075690031051636,0.4703125,0.4051642386014052,0.4519049345897105,0.38064469674789597,4,Simulated Annealing
Sleep-EDF,64,3,64,0.4,0.0005,16,0.9307129979133606,0.6015625,0.5949099236202542,0.5900602784872016,0.5771462038558973,4,Simulated Annealing
Sleep-EDF,64,3,64,0.4,0.001,16,0.9176784753799438,0.60234375,0.5840857352432313,0.589973849203021,0.5801638659840194,4,Simulated Annealing
Sleep-EDF,32,3,64,0.4,0.001,16,0.9579461812973022,0.60546875,0.5801359835234573,0.5872048207344502,0.5576091697814205,4,Simulated Annealing
Sleep-EDF,64,3,64,0.4,0.001,32,0.9257991909980774,0.59140625,0.5840385699744246,0.5790777364900815,0.5633297012152441,4,Simulated Annealing
Sleep-EDF,96,3,64,0.4,0.001,32,0.937658965587616,0.59140625,0.5592276796398339,0.5759858678774739,0.5565650218315555,4,Simulated Annealing
Sleep-EDF,64,3,64,0.3,0.001,32,0.9829027056694031,0.57265625,0.560836916399643,0.5587970076744428,0.5416402805138076,4,Simulated Annealing
Sleep-EDF,64,3,64,0.4,0.001,48,1.0073983669281006,0.55390625,0.5180406203041873,0.5373210967113207,0.5097043270379829,4,Simulated Annealing
Sleep-EDF,64,4,64,0.4,0.001,32,0.9347152709960938,0.603125,0.5787649433998101,0.5857967912488864,0.5696031135357634,4,Simulated Annealing
Sleep-EDF,64,4,96,0.4,0.001,32,0.9166433215141296,0.61640625,0.6081294231595618,0.5999716907796748,0.591588875607818,4,Simulated Annealing
Sleep-EDF,64,4,96,0.4,0.001,16,0.9380637407302856,0.60859375,0.586995392366054,0.5934561858701606,0.5713306016766715,4,Simulated Annealing
Sleep-EDF,64,4,96,0.4,0.0005,16,0.9740424156188965,0.56875,0.5267706151984737,0.5533255848875612,0.5223707546933586,4,Simulated Annealing
Sleep-EDF,64,4,96,0.3,0.0005,16,0.8765119314193726,0.63515625,0.6167653705541403,0.6194705488826298,0.6015016805080867,4,Simulated Annealing
Sleep-EDF,64,4,96,0.2,0.0005,16,0.891309380531311,0.62421875,0.6088753483911399,0.6118024581843636,0.6088351511876227,4,Simulated Annealing
Sleep-EDF,32,4,96,0.2,0.0005,16,0.8895705938339233,0.62890625,0.6174785091559019,0.6149208917640969,0.5942942167856783,4,Simulated Annealing
