dataset,generation,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,5,128,5,64,0.4,0.005,32,1.2592869997024536,0.4484375,0.4039918024258906,0.4442236340592058,0.39031685406971006,4,GA
Haaglanden,6,128,4,64,0.2,0.0005,32,1.1434452533721924,0.515625,0.4899300936552585,0.5098597681401749,0.4806584435933461,4,GA
Haaglanden,6,64,4,64,0.2,0.005,32,1.2823107242584229,0.459375,0.44589367953508363,0.45156055228604497,0.41998580826638265,4,GA
Haaglanden,6,128,4,64,0.2,0.01,32,1.325018048286438,0.4078125,0.36184118715172087,0.40852093894895447,0.3210583881440426,4,GA
Haaglanden,6,128,4,64,0.2,0.0001,32,1.313735008239746,0.4171875,0.3601448992162709,0.41420781968290443,0.34990692977217214,4,GA
Haaglanden,6,128,4,64,0.2,0.0005,32,1.1274508237838745,0.51640625,0.47702943464226166,0.5110640725539684,0.474925082877097,4,GA
Haaglanden,6,128,5,64,0.2,0.0005,48,1.322309136390686,0.428125,0.4038979021824649,0.42813964424357287,0.3523755008897501,4,GA
Haaglanden,6,128,5,64,0.2,0.0005,48,1.5135380029678345,0.39140625,0.35244336174285784,0.39473336396519526,0.2997081301379263,4,GA
Haaglanden,6,128,4,64,0.5,0.01,16,1.4525460004806519,0.3609375,0.3266067799276928,0.3566009124475297,0.28990013142409043,4,GA
Haaglanden,6,64,5,64,0.2,0.0005,32,1.2004777193069458,0.48671875,0.45493808359643034,0.483929728828687,0.44399278992817337,4,GA
Haaglanden,6,96,5,64,0.2,0.005,32,1.2446082830429077,0.4328125,0.4831871781518803,0.4282891909464019,0.4037811090807869,4,GA
Haaglanden,7,128,4,64,0.2,0.0005,32,1.1401336193084717,0.5265625,0.49207837481812433,0.5217317071415226,0.49014880857997056,4,GA
Haaglanden,7,128,4,64,0.2,0.005,16,1.378291368484497,0.3828125,0.4062934673206719,0.39774291496395175,0.3622511452038341,4,GA
Haaglanden,7,128,5,64,0.2,0.005,32,1.2033947706222534,0.49765625,0.47250256640100885,0.49860603022646455,0.4574749298360903,4,GA
Haaglanden,7,128,4,32,0.2,0.0005,32,1.1649370193481445,0.490625,0.4579255756275803,0.4900587399068634,0.46207932817039,4,GA
Haaglanden,7,64,4,64,0.2,0.0005,32,1.1905333995819092,0.48515625,0.4405499308298424,0.4785397427408222,0.4375855239620039,4,GA
Haaglanden,7,96,5,64,0.2,0.005,64,1.346803903579712,0.3890625,0.36607459110510165,0.3913778901101607,0.35951815269828724,4,GA
Haaglanden,7,128,4,128,0.2,0.0005,32,1.2040997743606567,0.49921875,0.458751172854354,0.4933125675299642,0.4495214589527988,4,GA
Haaglanden,7,128,4,32,0.2,0.0005,32,1.1891728639602661,0.496875,0.4699030730004181,0.4923195639111292,0.47205431363867767,4,GA
Haaglanden,7,96,5,64,0.2,0.0005,32,1.1555486917495728,0.525,0.4989835459420819,0.5232082863763546,0.4882055878726058,4,GA
Haaglanden,7,128,4,64,0.2,0.0005,64,1.497403860092163,0.34296875,0.24123505713920962,0.3455338669911282,0.2273757165066852,4,GA
Haaglanden,8,128,4,64,0.2,0.0005,32,1.1776599884033203,0.521875,0.5173045200125856,0.5135366040788407,0.4919293482609838,4,GA
Haaglanden,8,128,4,32,0.2,0.0005,32,1.139133095741272,0.51171875,0.47829529914887087,0.5059944451974074,0.48432319500189547,4,GA
Haaglanden,8,128,5,64,0.2,0.0005,32,1.2157853841781616,0.5,0.46364160100724383,0.49594907069740757,0.4594120668721521,4,GA
Haaglanden,8,96,5,64,0.2,0.0005,32,1.189497709274292,0.49765625,0.4475273943993036,0.49339651832434567,0.44169282201138704,4,GA
Haaglanden,8,128,4,64,0.2,0.0005,32,1.2299106121063232,0.46796875,0.43843728593902875,0.4622099700159195,0.43710499423041815,4,GA
Haaglanden,8,96,5,64,0.2,0.0005,32,1.180962085723877,0.49453125,0.4835618482187353,0.4931909043293504,0.45668837326850414,4,GA
Haaglanden,8,128,4,32,0.2,0.0005,64,1.512973666191101,0.33671875,0.30305891267980856,0.3388796517653051,0.27620127514882614,4,GA
Haaglanden,8,128,4,64,0.2,0.005,48,1.2971240282058716,0.440625,0.42540145414260494,0.44060022474733157,0.39066223978176423,4,GA
Haaglanden,8,96,5,128,0.1,0.005,32,1.2296292781829834,0.4828125,0.45365935689611997,0.48292229865469477,0.44661071304695066,4,GA
Haaglanden,8,96,5,64,0.2,0.0005,32,1.1443979740142822,0.5296875,0.5058009343338025,0.524481792843786,0.4723940869489103,4,GA
Haaglanden,9,128,4,32,0.2,0.0005,32,1.1886951923370361,0.4921875,0.47551953677981074,0.49249163847632527,0.4813611999796459,4,GA
Haaglanden,9,128,2,32,0.2,0.0005,32,1.2209062576293945,0.48515625,0.444402948287835,0.4812175694854243,0.44256802639593606,4,GA
Haaglanden,9,128,5,64,0.2,0.0005,32,1.1510987281799316,0.503125,0.4500907316061301,0.49533946272116225,0.4574159464223923,4,GA
Haaglanden,9,96,5,96,0.2,0.0005,32,1.1036282777786255,0.5125,0.46169765554110054,0.5071295515063559,0.46131298959478995,4,GA
Haaglanden,9,128,5,64,0.2,0.0005,32,1.2204656600952148,0.48046875,0.4606385431826028,0.47738018478949823,0.46026521125354664,4,GA
Haaglanden,9,96,4,32,0.2,0.0005,32,1.1939455270767212,0.49296875,0.4665874985111387,0.4859463790567092,0.46696316659370324,4,GA
Haaglanden,9,96,5,64,0.5,0.0005,32,1.2744464874267578,0.43203125,0.39754362992626696,0.4318065536353474,0.3565126861890591,4,GA
