dataset,eval,restart_id,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,epochs_used,method
Haaglanden,74,5,128,2,128,0.2,0.001,32,1.2533726692199707,0.4675000011920929,4,Hill Climbing
Haaglanden,75,5,128,2,96,0.2,0.001,48,1.3769440650939941,0.3893750011920929,4,Hill Climbing
Haaglanden,76,5,128,2,128,0.2,0.0005,48,1.3643035888671875,0.4325000047683716,4,Hill Climbing
Haaglanden,77,5,128,3,128,0.2,0.001,48,1.3437139987945557,0.4412499964237213,4,Hill Climbing
Haaglanden,78,5,128,2,128,0.3,0.001,48,1.2142621278762817,0.4675000011920929,4,Hill Climbing
Haaglanden,79,5,128,2,128,0.3,0.001,32,1.2691240310668945,0.4412499964237213,4,Hill Climbing
Haaglanden,80,5,128,3,128,0.3,0.001,48,1.3407331705093384,0.4350000023841858,4,Hill Climbing
Haaglanden,81,5,128,2,128,0.3,0.005,48,3.3287291526794434,0.2056249976158142,3,Hill Climbing
Haaglanden,82,5,128,2,128,0.3,0.001,64,1.6330633163452148,0.3675000071525574,4,Hill Climbing
Haaglanden,83,5,128,2,96,0.3,0.001,48,1.4179801940917969,0.421875,4,Hill Climbing
Haaglanden,84,5,128,2,128,0.2,0.001,48,1.5022274255752563,0.3556250035762787,4,Hill Climbing
Haaglanden,85,5,128,2,128,0.4,0.001,48,1.4424951076507568,0.41187500953674316,4,Hill Climbing
Haaglanden,86,5,128,2,128,0.3,0.0005,48,1.3729721307754517,0.4293749928474426,4,Hill Climbing
Haaglanden,87,5,96,2,128,0.3,0.001,48,1.2987017631530762,0.4518750011920929,4,Hill Climbing
Haaglanden,88,6,32,4,96,0.4,0.01,48,1.3801350593566895,0.40187498927116394,3,Hill Climbing
Haaglanden,89,6,32,4,96,0.4,0.005,48,1.2086265087127686,0.4493750035762787,4,Hill Climbing
Haaglanden,90,6,32,4,96,0.3,0.005,48,1.2435696125030518,0.4675000011920929,4,Hill Climbing
Haaglanden,91,6,32,4,96,0.4,0.001,48,1.3010568618774414,0.47187501192092896,4,Hill Climbing
Haaglanden,92,6,32,4,96,0.4,0.01,48,1.2238539457321167,0.45500001311302185,4,Hill Climbing
Haaglanden,93,6,64,4,96,0.4,0.005,48,1.2460819482803345,0.44999998807907104,4,Hill Climbing
Haaglanden,94,6,32,4,96,0.4,0.005,32,1.2788692712783813,0.43437498807907104,4,Hill Climbing
Haaglanden,95,6,16,4,96,0.4,0.005,48,1.3321560621261597,0.41062501072883606,4,Hill Climbing
Haaglanden,96,6,32,4,96,0.5,0.005,48,1.3598703145980835,0.4143750071525574,4,Hill Climbing
Haaglanden,97,6,32,3,96,0.4,0.005,48,1.3312335014343262,0.40437498688697815,4,Hill Climbing
Haaglanden,98,6,32,4,128,0.4,0.005,48,1.1847397089004517,0.4950000047683716,4,Hill Climbing
Haaglanden,99,6,32,4,128,0.5,0.005,48,1.3318071365356445,0.3987500071525574,4,Hill Climbing
Haaglanden,100,6,16,4,128,0.4,0.005,48,1.2322577238082886,0.46312499046325684,4,Hill Climbing
