dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,71,4,90,0.26580389888005274,0.008579443134206178,43,1.0698530673980713,0.55390625,0.5794132576366122,0.543066331370372,0.5522068783409815,4,PSO
Sleep-EDF,65,3,96,0.43752264527859996,0.005515135938395136,36,1.0180702209472656,0.55,0.45722317708134375,0.5399191267536528,0.4899687079214221,4,PSO
Sleep-EDF,75,3,87,0.3153914457567072,0.00861306952202361,39,1.062479853630066,0.51953125,0.4717767061202089,0.5068602832704174,0.4685770710618189,4,PSO
Sleep-EDF,63,3,82,0.41418256351842797,0.005696195908716432,39,1.2668579816818237,0.39453125,0.6163890640253078,0.39484073746372,0.3285800061756278,4,PSO
Sleep-EDF,60,3,74,0.3509111275897003,0.0005685945648800362,32,1.0017768144607544,0.578125,0.5386956058170963,0.5629455241806947,0.5416537546555685,4,PSO
Sleep-EDF,63,4,63,0.14746033706169528,0.008068292422512592,40,1.6242964267730713,0.309375,0.32819567151231854,0.3136831223961056,0.24663401778377647,3,PSO
Sleep-EDF,29,4,72,0.47393374050532144,0.0017841933466234284,40,1.164707899093628,0.515625,0.47607351832798733,0.49634454722609256,0.4608288967078137,4,PSO
Sleep-EDF,58,4,91,0.24966917226194846,0.0023187647856145886,39,1.0438587665557861,0.55546875,0.54919517711649,0.5481777377118566,0.5401633131233791,4,PSO
Sleep-EDF,56,4,78,0.4053216783049043,0.00013916439404019408,40,1.2658379077911377,0.46875,0.46550064042059985,0.4520922032692785,0.37713712060084764,4,PSO
Sleep-EDF,63,3,83,0.15390583309872422,0.0002934105710787205,41,1.0052026510238647,0.5578125,0.5161525823797628,0.5382758171391807,0.50632231317879,4,PSO
Sleep-EDF,66,4,84,0.4680594490010579,0.005837209244264538,44,1.1540610790252686,0.5359375,0.5289065297413685,0.5162752358458012,0.48215315008702975,4,PSO
Sleep-EDF,51,3,105,0.44743742259310826,0.005044413514845181,38,1.2863739728927612,0.4171875,0.4420395792872823,0.4028358170802885,0.3706598568973064,4,PSO
Sleep-EDF,58,2,73,0.18045824127160517,0.0005458148960081957,43,0.9744833707809448,0.59375,0.5720695175261293,0.5803032207328054,0.5630795890507874,4,PSO
Sleep-EDF,65,3,74,0.16822672466931368,0.007363484869761446,40,1.1099417209625244,0.5265625,0.5362109461523593,0.5182914051338317,0.5087307088827426,4,PSO
Sleep-EDF,57,3,65,0.2726939193438451,0.009814006615561482,27,1.1652843952178955,0.49375,0.47513344900063076,0.4786529098203821,0.4381520212029497,4,PSO
Sleep-EDF,62,4,67,0.28316900234236764,0.003958879496340121,39,1.0609636306762695,0.53671875,0.5609692913986897,0.5209997162471124,0.4959219149629118,4,PSO
Sleep-EDF,16,4,73,0.47156620857916043,0.005720720254338047,43,1.115628957748413,0.51640625,0.49129788345958103,0.502756865311822,0.4681742377845904,4,PSO
Sleep-EDF,55,4,80,0.19815618490051737,0.005733594899558808,40,1.2602006196975708,0.42890625,0.48669221052962086,0.41274335912417215,0.39504256207643423,3,PSO
