dataset,trial,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,36,16,5,32,0.3,0.0001,64,1.5421662330627441,0.38046875,0.3462182811738016,0.37058324549685573,0.33985207237781634,4,Grid Search
Sleep-EDF,37,16,5,64,0.1,0.01,16,1.214925765991211,0.4609375,0.4182058296731217,0.45185488625503084,0.3964248931382736,3,Grid Search
Sleep-EDF,38,16,5,64,0.1,0.01,64,1.0552469491958618,0.5453125,0.5067862192922173,0.5325328959180268,0.49130270153773486,4,Grid Search
Sleep-EDF,39,16,5,64,0.1,0.001,16,0.9111602902412415,0.584375,0.5782703082591933,0.5726699801465802,0.5502241778565568,4,Grid Search
Sleep-EDF,40,16,5,64,0.1,0.001,64,1.120750904083252,0.4640625,0.4077715429470567,0.44418733065348787,0.3502392885049922,4,Grid Search
Sleep-EDF,41,16,5,64,0.1,0.0001,16,0.999254047870636,0.575,0.5382349723486597,0.5573847175273097,0.5381523189865869,4,Grid Search
Sleep-EDF,42,16,5,64,0.1,0.0001,64,1.311650276184082,0.42421875,0.42483733682791935,0.4023256038438925,0.3512193798682492,4,Grid Search
Sleep-EDF,43,16,5,64,0.3,0.01,16,1.0982774496078491,0.5484375,0.4891793786096622,0.5294358215661632,0.4878914464423477,4,Grid Search
Sleep-EDF,44,16,5,64,0.3,0.01,64,1.209592580795288,0.4765625,0.42139225527808827,0.47408530788655295,0.40938944637511226,3,Grid Search
Sleep-EDF,45,16,5,64,0.3,0.001,16,0.9510008692741394,0.59140625,0.5569957462244126,0.5742473187497223,0.548264588822706,4,Grid Search
Sleep-EDF,46,16,5,64,0.3,0.001,64,1.3164490461349487,0.44921875,0.4346021021021021,0.42866481744876433,0.35422169868308206,4,Grid Search
Sleep-EDF,47,16,5,64,0.3,0.0001,16,1.257582426071167,0.47265625,0.34301892040892656,0.451004065123002,0.3572852378769073,4,Grid Search
Sleep-EDF,48,16,5,64,0.3,0.0001,64,1.3822022676467896,0.40859375,0.4510139659202916,0.39129721095044595,0.3363429350758302,4,Grid Search
Sleep-EDF,49,64,2,32,0.1,0.01,16,1.129175066947937,0.52109375,0.5154498613236934,0.5023325668410556,0.47408535797961643,4,Grid Search
Sleep-EDF,50,64,2,32,0.1,0.01,64,1.2366725206375122,0.4265625,0.531143775980399,0.4235822090501499,0.4227291881435211,4,Grid Search
Sleep-EDF,51,64,2,32,0.1,0.001,16,0.9486352205276489,0.584375,0.5704137545342027,0.5739830747890907,0.5698610260260588,4,Grid Search
Sleep-EDF,52,64,2,32,0.1,0.001,64,1.1263929605484009,0.5265625,0.5307083407621228,0.5205577460421905,0.5221973397188874,4,Grid Search
Sleep-EDF,53,64,2,32,0.1,0.0001,16,1.0730901956558228,0.5375,0.49394853798625105,0.5237405339924874,0.4918227322733634,4,Grid Search
Sleep-EDF,54,64,2,32,0.1,0.0001,64,1.455000638961792,0.4234375,0.3120936488755427,0.4020163961183131,0.30161615308041567,4,Grid Search
Sleep-EDF,55,64,2,32,0.3,0.01,16,1.1093275547027588,0.5484375,0.4913212549910037,0.5307883032867254,0.4683945444795835,4,Grid Search
Sleep-EDF,56,64,2,32,0.3,0.01,64,1.366412878036499,0.40078125,0.43440140531538385,0.4050608678273133,0.39131838172891953,3,Grid Search
Sleep-EDF,57,64,2,32,0.3,0.001,16,1.0573567152023315,0.565625,0.5443003844547878,0.5462971009834611,0.5084656774799978,4,Grid Search
Sleep-EDF,58,64,2,32,0.3,0.001,64,1.2728497982025146,0.47265625,0.47868142594876206,0.45468764984307813,0.41308584351386324,4,Grid Search
Sleep-EDF,59,64,2,32,0.3,0.0001,16,1.2422916889190674,0.4640625,0.42890504266730634,0.447360456873888,0.3706069043247703,4,Grid Search
Sleep-EDF,60,64,2,32,0.3,0.0001,64,1.492932677268982,0.34609375,0.30447733581751146,0.3255695036297998,0.26860946279135434,4,Grid Search
Sleep-EDF,61,64,2,64,0.1,0.01,16,1.1861605644226074,0.515625,0.47246549157718987,0.4999500142660301,0.4530620308090702,4,Grid Search
Sleep-EDF,62,64,2,64,0.1,0.01,64,1.0976026058197021,0.5453125,0.5573593875715834,0.5369680828509799,0.5425631885654569,4,Grid Search
Sleep-EDF,63,64,2,64,0.1,0.001,16,0.9621256589889526,0.58125,0.6072733844824052,0.5768846933550278,0.5768910024599547,4,Grid Search
Sleep-EDF,64,64,2,64,0.1,0.001,64,1.2297217845916748,0.47734375,0.49140561405144634,0.4616711185770447,0.44364684428320444,4,Grid Search
Sleep-EDF,65,64,2,64,0.1,0.0001,16,0.9715671539306641,0.58359375,0.5508153614934601,0.5708102057821826,0.5539196243165322,4,Grid Search
Sleep-EDF,66,64,2,64,0.1,0.0001,64,1.3808305263519287,0.421875,0.41748251643181816,0.4013787301137712,0.3195027722581069,4,Grid Search
Sleep-EDF,67,64,2,64,0.3,0.01,16,1.2931931018829346,0.40078125,0.46752103803813955,0.39189040788510654,0.36796550371263015,4,Grid Search
Sleep-EDF,68,64,2,64,0.3,0.01,64,1.4103658199310303,0.3859375,0.3526712948157983,0.3895029612237621,0.31904758845942816,4,Grid Search
Sleep-EDF,69,64,2,64,0.3,0.001,16,0.8845362663269043,0.61015625,0.5825278746797744,0.5960524766046413,0.5833775821953711,4,Grid Search
Sleep-EDF,70,64,2,64,0.3,0.001,64,1.1611964702606201,0.4859375,0.45454477207946786,0.4738022762791398,0.4531306996588921,4,Grid Search
Sleep-EDF,71,64,2,64,0.3,0.0001,16,1.1421802043914795,0.503125,0.46377893937322223,0.4862392077417653,0.44499681749870357,4,Grid Search
