dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,96,5,96,0.2,0.001,32,1.1795296669006348,0.471875,0.4598241076666632,0.4636775912350156,0.4441818293348422,4,Simulated Annealing
Haaglanden,96,4,96,0.3,0.001,32,1.1893324851989746,0.50390625,0.46312008956096856,0.5009914736411536,0.4475951716188365,4,Simulated Annealing
Haaglanden,96,4,96,0.3,0.001,16,1.129557728767395,0.52421875,0.49030142026943035,0.5216331167366689,0.47234263074753874,4,Simulated Annealing
Haaglanden,96,4,96,0.3,0.001,32,1.2960325479507446,0.47578125,0.42940895269754886,0.4746959407182829,0.4247246714844623,4,Simulated Annealing
Haaglanden,96,4,96,0.3,0.005,16,1.2996549606323242,0.40703125,0.37879197277887133,0.41101882423584446,0.3732978957491277,4,Simulated Annealing
Haaglanden,96,4,96,0.2,0.001,16,1.1215569972991943,0.52109375,0.4951538894250168,0.5163748255777878,0.4896626953597278,4,Simulated Annealing
Haaglanden,96,4,96,0.2,0.005,16,1.3128421306610107,0.42265625,0.4291849337506125,0.4248048362156559,0.40795058126649764,4,Simulated Annealing
Haaglanden,96,4,96,0.2,0.0005,16,1.251570224761963,0.48515625,0.4447840124902597,0.482392732347546,0.4326645416342624,4,Simulated Annealing
Haaglanden,96,4,96,0.2,0.005,16,1.3274325132369995,0.40859375,0.43013125489338844,0.4064340438270399,0.4150325818274114,4,Simulated Annealing
Haaglanden,96,4,96,0.2,0.005,16,1.3051338195800781,0.421875,0.3953222406994955,0.41856286669139686,0.3851888309328685,4,Simulated Annealing
Haaglanden,96,4,96,0.2,0.001,32,1.1254377365112305,0.53828125,0.49805516746226264,0.5304856641683553,0.489116340502895,4,Simulated Annealing
Haaglanden,96,4,96,0.2,0.001,16,1.1238477230072021,0.5265625,0.5296014167904461,0.5234300207790856,0.5130097915058285,4,Simulated Annealing
Haaglanden,96,4,96,0.2,0.0005,16,1.2137296199798584,0.46484375,0.4297777265339658,0.4647841610550284,0.433707110659613,4,Simulated Annealing
Haaglanden,96,4,96,0.3,0.001,16,1.1354377269744873,0.5125,0.5080890560025761,0.5108592178041155,0.4897039276218182,4,Simulated Annealing
Haaglanden,64,4,96,0.3,0.001,16,1.1658934354782104,0.50234375,0.46481460215813863,0.49972557003559903,0.4663432908306813,4,Simulated Annealing
Haaglanden,32,4,96,0.3,0.001,16,1.2791980504989624,0.43359375,0.36521167410570854,0.4311251767107171,0.34723766351307067,4,Simulated Annealing
Haaglanden,64,3,96,0.3,0.001,16,1.1596193313598633,0.50234375,0.49414230480158333,0.4975495278670878,0.4915722994215354,4,Simulated Annealing
Haaglanden,64,3,96,0.3,0.001,32,1.1931350231170654,0.49375,0.45283259756348243,0.4898777417881222,0.44090355874585035,4,Simulated Annealing
Haaglanden,64,3,64,0.3,0.001,16,1.2238214015960693,0.47421875,0.4419088363848772,0.47500060694738744,0.43916376039152716,4,Simulated Annealing
Haaglanden,64,3,64,0.3,0.001,16,1.2015198469161987,0.48515625,0.42776152985593113,0.4816560096828705,0.4294003674573001,4,Simulated Annealing
Haaglanden,64,4,96,0.3,0.001,16,1.1934484243392944,0.46953125,0.4488735889361256,0.4718905798157712,0.4361389544042417,4,Simulated Annealing
Haaglanden,64,3,96,0.4,0.001,16,1.2325761318206787,0.4625,0.40666848397142646,0.46152272572380515,0.4133928041152452,4,Simulated Annealing
Haaglanden,64,3,96,0.3,0.005,16,1.333667278289795,0.41796875,0.38109157650874714,0.4215715681612505,0.3405667802999779,4,Simulated Annealing
Haaglanden,64,3,128,0.3,0.001,16,1.200307846069336,0.46796875,0.4474739878169001,0.4728473055170682,0.42494637175443656,4,Simulated Annealing
Haaglanden,64,3,96,0.3,0.001,32,1.3473094701766968,0.4265625,0.44798912357298437,0.42650539976760643,0.39082245759185863,4,Simulated Annealing
Haaglanden,64,3,128,0.3,0.001,16,1.1842265129089355,0.47265625,0.48592324562719985,0.46538810412916104,0.45713285471536197,4,Simulated Annealing
Haaglanden,64,3,128,0.3,0.001,16,1.2046523094177246,0.4796875,0.460311764801636,0.47512791028041435,0.44672269481641347,4,Simulated Annealing
Haaglanden,64,4,96,0.3,0.001,16,1.1611007452011108,0.5125,0.4859722461457422,0.5081562302498666,0.4904053135622945,4,Simulated Annealing
Haaglanden,64,4,64,0.3,0.001,16,1.1355904340744019,0.490625,0.45035191790429874,0.48500462448498094,0.4379062605953208,4,Simulated Annealing
Haaglanden,64,4,64,0.3,0.001,32,1.2964341640472412,0.44453125,0.3652048302710145,0.4422616126858627,0.3565420479357158,4,Simulated Annealing
Haaglanden,64,4,32,0.3,0.001,16,1.160252332687378,0.50390625,0.4553230102011062,0.4988355769565761,0.4539256310172487,4,Simulated Annealing
Haaglanden,64,4,64,0.3,0.001,32,1.1873973608016968,0.48515625,0.44072429931548446,0.4875461094690416,0.4258997048032219,4,Simulated Annealing
Haaglanden,64,4,64,0.3,0.0005,16,1.1858941316604614,0.47890625,0.4387331002483699,0.4784815447160119,0.4398919314114786,4,Simulated Annealing
Haaglanden,64,4,64,0.3,0.0005,16,1.177359938621521,0.4890625,0.46506690101435205,0.4831213709361067,0.4330041131447658,4,Simulated Annealing
Haaglanden,64,3,64,0.3,0.001,16,1.3384826183319092,0.409375,0.42020972607127466,0.40699077836645303,0.36222821154382945,4,Simulated Annealing
Haaglanden,64,4,96,0.3,0.001,16,1.2271174192428589,0.45234375,0.40705185393602716,0.4492442888476528,0.4034322384769503,4,Simulated Annealing
Haaglanden,64,5,64,0.3,0.001,16,1.178574800491333,0.503125,0.46294788214926613,0.4989631152427688,0.46576682388493673,4,Simulated Annealing
Haaglanden,64,4,96,0.3,0.001,16,1.2126301527023315,0.48359375,0.4506962138319285,0.4821866150609718,0.4306882819556794,4,Simulated Annealing
Haaglanden,32,4,64,0.3,0.001,16,1.1884279251098633,0.50234375,0.4726632985984011,0.49786542787295895,0.47283859533746764,4,Simulated Annealing
Haaglanden,64,4,64,0.3,0.0005,16,1.2203484773635864,0.47578125,0.45519606394025003,0.47241107933589427,0.4396472812574662,4,Simulated Annealing
Haaglanden,64,4,64,0.4,0.001,16,1.232651948928833,0.48125,0.4556939856009624,0.4751139161180582,0.43224667148519424,4,Simulated Annealing
Haaglanden,64,4,64,0.3,0.001,32,1.1635674238204956,0.4859375,0.46054938236988807,0.48241015352349603,0.4653025486249292,4,Simulated Annealing
Haaglanden,96,4,64,0.3,0.001,16,1.2068078517913818,0.48125,0.4838744421575039,0.478171645798105,0.4769390844711823,4,Simulated Annealing
Haaglanden,64,4,64,0.3,0.001,32,1.2810122966766357,0.45234375,0.39865276396256394,0.44944684611811503,0.40401692191931426,4,Simulated Annealing
Haaglanden,64,5,64,0.3,0.001,16,1.1330941915512085,0.5234375,0.5078250194073812,0.5193791074511547,0.4968564333624287,4,Simulated Annealing
Haaglanden,64,5,64,0.3,0.001,32,1.2320678234100342,0.4953125,0.4856143675976286,0.496154324454814,0.47781564274247773,4,Simulated Annealing
