dataset,probe,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,65,51,3,119,0.21558075747956879,0.004063554196934735,51,1.2775018215179443,0.44609375,0.3920271313028913,0.4410672260239224,0.3585044753586616,4,Bayesian Optimization
Haaglanden,66,64,4,50,0.41621650458053416,0.0011169622094144975,36,1.3266862630844116,0.4546875,0.40048116706665005,0.45393177914955246,0.3995943848766004,4,Bayesian Optimization
Haaglanden,67,65,4,49,0.3852788490145266,0.003153240383806995,29,1.260498285293579,0.46171875,0.45105089067683213,0.46617579098939715,0.42197402350921615,4,Bayesian Optimization
Haaglanden,68,50,4,119,0.5,0.01,51,1.4812177419662476,0.36171875,0.2866147511242023,0.36865480266258477,0.3022922497886181,3,Bayesian Optimization
Haaglanden,69,63,3,49,0.37561758583353977,0.0027216225907560126,35,1.3766815662384033,0.37265625,0.4638854104383599,0.3787449733439441,0.37099755129390266,4,Bayesian Optimization
Haaglanden,70,21,4,88,0.17164879719866877,0.00682532283311993,44,1.2594395875930786,0.46953125,0.5502304119662845,0.46834120731572726,0.37858311778796955,4,Bayesian Optimization
Haaglanden,71,51,2,119,0.1,0.0001,52,1.4241628646850586,0.37734375,0.32097064284486876,0.37833954289960314,0.3048086307008552,4,Bayesian Optimization
Haaglanden,72,82,5,39,0.1,0.0001,31,1.365919828414917,0.41015625,0.355558245547346,0.4121704413445345,0.35732752623563974,4,Bayesian Optimization
Haaglanden,73,47,3,102,0.39731296775242275,0.006472763806970319,36,1.388450264930725,0.38828125,0.33543174166934203,0.38836367235639235,0.3135399238560187,4,Bayesian Optimization
Haaglanden,74,49,3,97,0.16021609227558342,0.002267992590966523,39,1.3446162939071655,0.38359375,0.4599444586352429,0.39942448374606027,0.3808105097884873,4,Bayesian Optimization
Haaglanden,75,64,3,107,0.11955850390130106,0.009510478365088447,52,1.459935188293457,0.40078125,0.43525411740327274,0.39993633792303307,0.3594654778910614,4,Bayesian Optimization
Haaglanden,76,60,2,118,0.4640395281558608,0.008072199934825233,31,1.3132010698318481,0.421875,0.39589717891295784,0.4181459563887078,0.35189158923497843,4,Bayesian Optimization
Haaglanden,77,63,5,50,0.5,0.0017221142163960682,35,1.2251536846160889,0.45703125,0.44308930783705724,0.455078061259811,0.4271109082756828,4,Bayesian Optimization
Haaglanden,78,82,4,40,0.16955601758847952,0.001674281691389872,31,1.1801204681396484,0.4984375,0.49852357825915516,0.49609526343930765,0.4783708861488284,4,Bayesian Optimization
Haaglanden,79,63,4,49,0.37131566744123484,0.00023683509707033776,35,1.4280527830123901,0.37421875,0.3441977605180226,0.3738798331405335,0.28687320274604133,4,Bayesian Optimization
Haaglanden,80,82,5,40,0.5,0.01,31,1.437423586845398,0.35390625,0.28700153884116625,0.3541989165912851,0.2315180537137525,4,Bayesian Optimization
Haaglanden,81,23,2,37,0.24617628714413683,0.005119208528634372,57,1.4171626567840576,0.38984375,0.36456456074090193,0.390670134532316,0.3370698891016838,4,Bayesian Optimization
Haaglanden,82,41,4,118,0.2320328562266835,0.005711133911025575,39,1.2094357013702393,0.43515625,0.5115163180270079,0.42514648414485234,0.4135042715057364,4,Bayesian Optimization
Haaglanden,83,63,4,50,0.48084821036159087,0.002450539562927094,35,1.3483994007110596,0.4109375,0.37394724119944533,0.41065013174339143,0.36009588946312004,4,Bayesian Optimization
Haaglanden,84,17,3,100,0.2397850609700127,0.0034599530780613594,20,1.251265048980713,0.46640625,0.42375264473382745,0.4616869825769035,0.39757346924618436,4,Bayesian Optimization
Haaglanden,85,82,4,40,0.1,0.0001,31,1.3313722610473633,0.40703125,0.37070201885567133,0.4081287294215623,0.37083269082559545,4,Bayesian Optimization
Haaglanden,86,120,4,91,0.2362127500944891,0.007232450866003963,19,1.3551026582717896,0.40390625,0.34928435993448803,0.40992890055146863,0.35062448286832615,4,Bayesian Optimization
Haaglanden,87,78,4,123,0.20762562122029468,0.0032304499400195854,25,1.2192308902740479,0.48125,0.47774300378457796,0.4781292409697079,0.4493667713299522,4,Bayesian Optimization
Haaglanden,88,124,4,122,0.3711064108621196,0.0005024145740804819,16,1.2193443775177002,0.49296875,0.4647171472282817,0.4963953113758562,0.4632585069911772,4,Bayesian Optimization
Haaglanden,89,51,3,119,0.2106780727812832,0.004558515196390901,52,1.3908363580703735,0.38828125,0.44701005780039826,0.3900368722108398,0.3692552782432346,4,Bayesian Optimization
Haaglanden,90,120,3,54,0.38514259076317947,0.0016081159055884886,47,1.7781245708465576,0.20078125,0.09044233807266983,0.2001226907841694,0.06900563048013061,3,Bayesian Optimization
Haaglanden,91,86,3,120,0.18878098161751106,0.005604625671500127,40,1.2371339797973633,0.4515625,0.4565788177296139,0.44926064833683765,0.4438738405282937,4,Bayesian Optimization
Haaglanden,92,63,4,49,0.47168914141842816,0.0017571646152946747,35,1.3549280166625977,0.4,0.4120521734746827,0.40170020098098425,0.3685850202552805,4,Bayesian Optimization
Haaglanden,93,58,2,123,0.1218167460214334,0.0008806808723494005,57,1.399702787399292,0.40546875,0.39523864184123314,0.41066355458723985,0.3211672376620627,4,Bayesian Optimization
Haaglanden,94,110,4,87,0.35804460399767035,0.000560907699678175,46,1.4649040699005127,0.4109375,0.38186036874070634,0.4122493297866713,0.3411431620463668,4,Bayesian Optimization
Haaglanden,95,16,3,100,0.28633752912628363,0.004770841309476739,19,1.265466332435608,0.4640625,0.40459258318798896,0.46449343029486123,0.41103965842086715,4,Bayesian Optimization
Haaglanden,96,81,4,116,0.16471202475064894,0.008122990155280526,61,1.3515145778656006,0.42734375,0.41592953653798637,0.42606940566774887,0.39114968267471556,4,Bayesian Optimization
Haaglanden,97,124,4,122,0.3478969468731077,0.000471080495111659,16,1.1794999837875366,0.47109375,0.4287705219594753,0.472729600801648,0.43309957329951504,4,Bayesian Optimization
Haaglanden,98,103,3,100,0.13547039991393964,0.007976583066436277,50,1.3694746494293213,0.403125,0.38397513276823625,0.3975496913830038,0.33400000483098197,4,Bayesian Optimization
Haaglanden,99,65,4,49,0.37387847273326763,0.003071078914114436,29,1.3068712949752808,0.43203125,0.40751537605861704,0.4301002864113195,0.3929589231807481,4,Bayesian Optimization
Haaglanden,100,86,2,81,0.42873766284659365,0.0021218501631751477,30,1.3758230209350586,0.3984375,0.40201934063898853,0.399524644334485,0.3552734459392447,4,Bayesian Optimization
