dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,basin_id,phase,method
Sleep-EDF,64,2,96,0.1,0.0005,64,1.39725923538208,0.44765625,0.44125794620328557,0.43302408936722003,0.3882419028834725,4,5,hc_step,Basin Hopping
Sleep-EDF,64,2,128,0.1,0.0005,64,1.0459303855895996,0.553125,0.5549358547574198,0.5386001448191586,0.5405444786643687,4,5,hc_step,Basin Hopping
Sleep-EDF,96,2,128,0.1,0.0005,64,1.272209882736206,0.45546875,0.5037092072159284,0.4402377785377466,0.3938862757130628,4,5,hc_step,Basin Hopping
Sleep-EDF,64,2,128,0.1,0.0001,64,1.3359125852584839,0.43125,0.42340477712886776,0.4107556043051745,0.32863273144523847,4,5,hc_step,Basin Hopping
Sleep-EDF,64,2,128,0.1,0.0005,48,0.9561362266540527,0.5796875,0.5775092534079624,0.5648345897866347,0.5540460510564353,4,5,hc_step,Basin Hopping
Sleep-EDF,96,2,128,0.1,0.0005,48,1.2053180932998657,0.50234375,0.47947288255252146,0.4841232092348936,0.4493224591370345,4,5,hc_step,Basin Hopping
Sleep-EDF,64,3,128,0.1,0.0005,48,1.0489164590835571,0.55625,0.5207326023590028,0.5387817623938285,0.5075400985063687,4,5,hc_step,Basin Hopping
Sleep-EDF,64,2,128,0.1,0.0005,32,0.880876898765564,0.62734375,0.6148528344167593,0.6121368969541153,0.60562757582087,4,5,hc_step,Basin Hopping
Sleep-EDF,64,2,128,0.1,0.0005,48,0.9166675806045532,0.60078125,0.5767090117762343,0.5852210053605184,0.5672872907331434,4,5,hc_step,Basin Hopping
Sleep-EDF,64,2,128,0.1,0.0005,16,0.8790705800056458,0.61328125,0.5974471530578349,0.602488486972858,0.5880207313510709,4,5,hc_step,Basin Hopping
Sleep-EDF,64,2,128,0.2,0.0005,16,0.8797024488449097,0.6171875,0.6164354525179775,0.6057256100292477,0.5968093192336547,4,5,hc_step,Basin Hopping
Sleep-EDF,64,3,128,0.1,0.0005,16,0.8878358602523804,0.65703125,0.6284383925428887,0.6434354294386677,0.6267948420833113,4,5,hc_step,Basin Hopping
Sleep-EDF,96,2,128,0.1,0.0005,16,0.8569027185440063,0.61171875,0.5978126095770537,0.5982038246128982,0.5963298972057836,4,5,hc_step,Basin Hopping
Sleep-EDF,96,3,128,0.1,0.0005,16,0.8347069025039673,0.6421875,0.6320123463982514,0.6317367553391023,0.6308837294847597,4,5,hc_step,Basin Hopping
Sleep-EDF,96,4,128,0.1,0.0005,16,0.8650692105293274,0.62890625,0.6240345246313849,0.6176204860110188,0.6144763675098133,4,5,hc_step,Basin Hopping
Sleep-EDF,96,2,128,0.1,0.0005,16,0.8996577262878418,0.60625,0.5927900813558789,0.5886620075236009,0.5645748580292209,4,5,hc_step,Basin Hopping
Sleep-EDF,96,3,128,0.2,0.0005,16,0.9011772871017456,0.62265625,0.6181887962405547,0.6117875237473535,0.6086295005807201,4,5,hc_step,Basin Hopping
Sleep-EDF,128,3,128,0.1,0.0005,16,0.8119739294052124,0.64765625,0.6412977546225802,0.6368732299262876,0.6375825929722226,4,5,hc_step,Basin Hopping
Sleep-EDF,128,3,128,0.1,0.0005,32,0.8190390467643738,0.6515625,0.6395076284634889,0.6384764929702064,0.6318833353768749,4,5,hc_step,Basin Hopping
Sleep-EDF,128,3,128,0.1,0.001,16,0.928300678730011,0.61875,0.5856459108214579,0.6022935592802676,0.5821693585570081,4,5,hc_step,Basin Hopping
Sleep-EDF,128,3,128,0.1,0.0001,16,0.8486456871032715,0.6390625,0.6378581614700751,0.6258322562108982,0.619057003693197,4,5,hc_step,Basin Hopping
Sleep-EDF,128,2,128,0.1,0.0005,16,0.8720928430557251,0.62265625,0.6188989839246308,0.6114626495395653,0.6138846404357327,4,5,hc_step,Basin Hopping
Sleep-EDF,128,3,128,0.2,0.0005,16,0.9023923873901367,0.61484375,0.5967067352290443,0.6009735611221229,0.575662759160798,4,5,hc_step,Basin Hopping
Sleep-EDF,96,3,128,0.1,0.0005,16,0.8665452003479004,0.6140625,0.6080479542529924,0.6018433550587001,0.6009474144573335,4,5,hc_step,Basin Hopping
Sleep-EDF,128,4,128,0.1,0.0005,16,0.8272317051887512,0.646875,0.648736136307731,0.6374511716866835,0.6385091591732956,4,5,hc_step,Basin Hopping
Sleep-EDF,128,3,96,0.1,0.0005,16,0.8543792963027954,0.6328125,0.6184395549002183,0.6207202371505871,0.6142519052108874,4,5,hc_step,Basin Hopping
Sleep-EDF,128,3,128,0.1,0.01,16,1.0387624502182007,0.559375,0.5453169884454477,0.5440848764147028,0.5148565959621925,4,6,hc_start,Basin Hopping
